Recording timestamp,Gaze point X,Gaze point Y
0,,
0,837,624
10,836,627
20,836,633
30,834,643
40,832,649
50,831,658
60,830,659
70,829,659
80,828,664
90,828,668
100,827,673
110,823,682
120,821,686
130,820,686
140,817,686
150,823,690
160,902,717
390,946,743
400,954,750
410,959,750
420,963,750
430,967,750
440,972,748
450,976,747
460,980,747
470,986,747
480,992,747
490,994,744
500,996,744
510,1000,745
520,1003,745
530,1010,748
540,1025,751
550,1038,754
560,1057,761
570,1083,763
580,1106,758
590,1127,754
600,1151,756
610,1168,758
620,1212,764
630,1256,769
640,,
650,,
660,1242,790
670,1143,831
676,,
680,1054,865
690,,
700,,
710,729,923
720,650,753
730,609,575
740,611,349
750,561,126
760,,
770,,
780,,
790,,
800,,
810,,
820,,
830,,
840,149,199
850,206,239
859,259,250
869,299,259
879,323,262
889,386,254
899,433,244
909,,
919,,
929,472,235
939,,
949,,
959,530,228
969,530,220
979,537,219
989,548,216
999,557,219
1009,553,227
1019,577,198
1029,644,189
1039,753,243
1049,912,309
1059,1079,297
1069,1235,268
1079,1317,239
1089,1341,195
1099,1349,193
1109,1339,220
1119,1341,252
1129,1255,283
1139,1247,264
1149,1249,257
1159,1241,266
1169,1206,268
1174,,
1179,1183,264
1189,,
1199,,
1209,1159,261
1219,1151,270
1229,1139,284
1239,1125,283
1249,1112,283
1259,1104,279
1269,1101,277
1279,1088,288
1289,1079,292
1299,1067,290
1309,1058,292
1319,1054,292
1329,1040,291
1339,1013,299
1349,972,307
1359,962,307
1369,960,306
1379,957,305
1389,952,304
1399,948,303
1409,940,309
1419,938,313
1429,922,344
1439,923,322
1449,928,302
1459,907,304
1469,883,321
1479,878,322
1489,893,300
1499,877,298
1509,833,353
1519,815,279
1529,807,250
1539,773,231
1549,719,227
1559,683,250
1569,622,249
1579,684,233
1589,785,369
1599,893,525
1609,,
1619,,
1629,,
1639,,
1649,,
1659,1180,602
1669,1184,506
1674,,
1679,1267,477
1689,1422,693
1699,1419,849
1709,1416,902
1719,1472,920
1729,1482,927
1739,1396,884
1749,1299,860
1759,1283,876
1769,1279,889
1779,1252,901
1789,1228,901
1799,1192,890
1809,1165,894
1819,1149,887
1829,1136,872
1839,1123,868
1849,1119,864
1859,1099,855
1869,1030,863
1879,952,904
1889,920,924
1899,917,924
1909,913,923
1919,908,916
1929,905,913
1939,905,910
1949,905,902
1959,903,896
1969,903,885
1979,902,869
1989,902,859
1999,904,852
2009,905,846
2019,905,843
2029,903,836
2039,900,826
2049,900,826
2059,903,838
2069,908,863
2079,907,863
2089,906,854
2099,909,855
2109,911,854
2119,912,851
