,Recording timestamp,Gaze point X,Gaze point Y
1,0,837,624
2,10,836,627
3,20,836,633
4,30,834,643
5,40,832,649
6,50,831,658
7,60,830,659
8,70,829,659
9,80,828,664
10,90,828,668
11,100,827,673
12,110,823,682
13,120,821,686
14,130,820,686
15,140,817,686
16,150,823,690
17,160,902,717
18,390,946,743
19,400,954,750
20,410,959,750
21,420,963,750
22,430,967,750
23,440,972,748
24,450,976,747
25,460,980,747
26,470,986,747
27,480,992,747
28,490,994,744
29,500,996,744
30,510,1000,745
31,520,1003,745
32,530,1010,748
33,540,1025,751
34,550,1038,754
35,560,1057,761
36,570,1083,763
37,580,1106,758
38,590,1127,754
39,600,1151,756
40,610,1168,758
41,620,1212,764
42,630,1256,769
45,660,1242,790
46,670,1143,831
48,680,1054,865
51,710,729,923
52,720,650,753
53,730,609,575
54,740,611,349
55,750,561,126
64,840,149,199
65,850,206,239
66,859,259,250
67,869,299,259
68,879,323,262
69,889,386,254
70,899,433,244
73,929,472,235
76,959,530,228
77,969,530,220
78,979,537,219
79,989,548,216
80,999,557,219
81,1009,553,227
82,1019,577,198
83,1029,644,189
84,1039,753,243
85,1049,912,309
86,1059,1079,297
87,1069,1235,268
88,1079,1317,239
89,1089,1341,195
90,1099,1349,193
91,1109,1339,220
92,1119,1341,252
93,1129,1255,283
94,1139,1247,264
95,1149,1249,257
96,1159,1241,266
97,1169,1206,268
99,1179,1183,264
102,1209,1159,261
103,1219,1151,270
104,1229,1139,284
105,1239,1125,283
106,1249,1112,283
107,1259,1104,279
108,1269,1101,277
109,1279,1088,288
110,1289,1079,292
111,1299,1067,290
112,1309,1058,292
113,1319,1054,292
114,1329,1040,291
115,1339,1013,299
116,1349,972,307
117,1359,962,307
118,1369,960,306
119,1379,957,305
120,1389,952,304
121,1399,948,303
122,1409,940,309
123,1419,938,313
124,1429,922,344
125,1439,923,322
126,1449,928,302
127,1459,907,304
128,1469,883,321
129,1479,878,322
130,1489,893,300
131,1499,877,298
132,1509,833,353
133,1519,815,279
134,1529,807,250
135,1539,773,231
136,1549,719,227
137,1559,683,250
138,1569,622,249
139,1579,684,233
140,1589,785,369
141,1599,893,525
147,1659,1180,602
148,1669,1184,506
150,1679,1267,477
151,1689,1422,693
152,1699,1419,849
153,1709,1416,902
154,1719,1472,920
155,1729,1482,927
156,1739,1396,884
157,1749,1299,860
158,1759,1283,876
159,1769,1279,889
160,1779,1252,901
161,1789,1228,901
162,1799,1192,890
163,1809,1165,894
164,1819,1149,887
165,1829,1136,872
166,1839,1123,868
167,1849,1119,864
168,1859,1099,855
169,1869,1030,863
170,1879,952,904
171,1889,920,924
172,1899,917,924
173,1909,913,923
174,1919,908,916
175,1929,905,913
176,1939,905,910
177,1949,905,902
178,1959,903,896
179,1969,903,885
180,1979,902,869
181,1989,902,859
182,1999,904,852
183,2009,905,846
184,2019,905,843
185,2029,903,836
186,2039,900,826
187,2049,900,826
188,2059,903,838
189,2069,908,863
190,2079,907,863
191,2089,906,854
192,2099,909,855
193,2109,911,854
194,2119,912,851
195,2129,914,848
196,2139,915,846
197,2149,919,844
198,2159,921,842
199,2169,921,841
201,2179,921,837
202,2189,920,835
203,2199,917,831
204,2209,915,828
205,2219,915,824
206,2229,914,820
207,2239,913,816
208,2249,913,811
209,2259,911,808
210,2269,908,806
211,2279,909,800
212,2289,910,794
213,2299,911,788
214,2309,912,784
215,2319,914,780
216,2329,915,777
217,2339,916,774
218,2349,917,773
219,2359,918,771
220,2369,918,768
221,2379,919,765
222,2389,919,763
223,2399,919,760
224,2409,919,757
225,2419,919,755
226,2429,919,754
227,2439,920,752
228,2449,921,751
229,2459,921,748
230,2469,921,746
231,2479,922,745
232,2489,924,743
233,2499,925,742
234,2509,926,742
235,2519,927,741
236,2528,929,739
237,2538,930,737
238,2548,930,736
239,2558,931,735
240,2568,932,734
241,2578,931,734
242,2588,930,736
243,2598,930,737
244,2608,931,737
245,2618,931,737
246,2628,931,736
247,2638,931,736
248,2648,931,737
249,2658,930,737
250,2668,930,737
252,2678,929,737
253,2688,929,734
254,2698,928,733
255,2708,926,733
256,2718,926,731
257,2728,926,729
258,2738,925,729
259,2748,924,728
262,2778,922,725
263,2788,922,724
264,2798,921,722
265,2808,920,721
266,2818,919,720
267,2828,920,720
268,2838,920,721
269,2848,918,721
270,2858,918,721
271,2868,919,722
272,2878,918,722
273,2888,917,721
274,2898,916,719
275,2908,916,719
276,2918,915,717
277,2928,914,714
278,2938,914,710
279,2948,914,708
280,2958,913,705
281,2968,912,702
282,2978,912,699
283,2988,914,698
284,2998,912,697
285,3008,906,697
286,3018,908,697
287,3028,913,696
288,3038,914,696
289,3048,914,696
290,3058,914,695
291,3068,916,695
292,3078,915,694
293,3088,912,694
294,3098,913,691
295,3108,915,688
296,3118,915,687
297,3128,915,686
298,3138,915,685
299,3148,915,684
300,3158,915,682
301,3168,915,680
303,3178,914,679
304,3188,913,678
305,3198,912,677
306,3208,911,677
307,3218,909,677
308,3228,908,677
309,3238,907,677
310,3248,906,677
311,3258,905,677
312,3268,905,677
313,3278,905,674
314,3288,906,670
315,3298,908,668
316,3308,908,667
317,3318,909,666
318,3328,909,666
319,3338,908,667
320,3348,908,668
321,3358,908,669
322,3368,908,669
323,3378,907,668
324,3388,907,668
325,3398,907,668
326,3408,907,668
327,3418,906,668
328,3428,905,667
331,3458,905,667
332,3468,903,667
333,3478,902,666
334,3488,902,664
335,3498,901,664
336,3508,901,664
